album_release_date,album_release_year,duration_ms,track_name,track_number,album_name,key_name,mode_name,key_mode
2000-01-01,2000,255866,Holler,1,Forever,A#,minor,A# minor
2000-01-01,2000,254666,Tell Me Why,2,Forever,F,minor,F minor
2000-01-01,2000,298293,Let Love Lead The Way,3,Forever,B,major,B major
2000-01-01,2000,251000,Right Back At Ya,4,Forever,G#,major,G# major
2000-01-01,2000,226266,Get Down With Me,5,Forever,C#,minor,C# minor
2000-01-01,2000,254773,Wasting My Time,6,Forever,F,minor,F minor
2000-01-01,2000,246600,Weekend Love,7,Forever,C#,major,C# major
2000-01-01,2000,291600,Time Goes By,8,Forever,C,major,C major
2000-01-01,2000,326826,If You Wanna Have Some Fun,9,Forever,G,minor,G minor
2000-01-01,2000,297040,Oxygen,10,Forever,B,major,B major
2000-01-01,2000,275426,Goodbye,11,Forever,E,major,E major
1997-01-01,1997,173666,Spice Up Your Life,1,Spiceworld,C#,major,C# major
1997-01-01,1997,204753,Stop,2,Spiceworld,D,minor,D minor
1997-01-01,1997,271933,Too Much,3,Spiceworld,D,major,D major
1997-01-01,1997,265893,Saturday Night Divas,4,Spiceworld,B,minor,B minor
1997-01-01,1997,270200,Never Give Up On The Good Times,5,Spiceworld,F,minor,F minor
1997-01-01,1997,166533,Move Over,6,Spiceworld,G,major,G major
1997-01-01,1997,243995,Do It,7,Spiceworld,B,minor,B minor
1997-01-01,1997,226960,Denying,8,Spiceworld,F#,major,F# major
1997-01-01,1997,310666,Viva Forever,9,Spiceworld,F#,major,F# major
1997-01-01,1997,190973,The Lady Is A Vamp,10,Spiceworld,A#,major,A# major
1996-01-01,1996,173026,Wannabe,1,Spice,B,major,B major
1996-01-01,1996,235973,Say You'll Be There,2,Spice,C#,major,C# major
1996-01-01,1996,241026,2 Become 1,3,Spice,F#,major,F# major
1996-01-01,1996,218573,Love Thing,4,Spice,D,major,D major
1996-01-01,1996,251533,Last Time Lover,5,Spice,G#,minor,G# minor
1996-01-01,1996,304960,Mama,6,Spice,G#,major,G# major
1996-01-01,1996,240706,Who Do You Think You Are,7,Spice,F#,minor,F# minor
1996-01-01,1996,245026,Something Kinda Funny,8,Spice,E,minor,E minor
1996-01-01,1996,265640,Naked,9,Spice,C,minor,C minor
1996-01-01,1996,228533,If U Can't Dance,10,Spice,B,minor,B minor
