Date (GMT-7:00),CPM,ACPM,uSv/h,Latitude,Longitude
2023-09-16 18:37:43,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 18:32:41,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 18:27:39,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 18:22:38,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 18:17:35,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 18:12:33,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 18:07:31,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 18:02:29,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 17:57:27,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 17:52:25,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 17:47:23,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 17:42:21,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 17:37:19,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 17:32:17,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 17:27:15,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 17:22:13,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 17:17:11,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 17:12:09,19,13.33,0.12,38.864147,-77.7026515
2023-09-16 17:07:08,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 17:02:06,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 16:57:03,21,13.33,0.14,38.864147,-77.7026515
2023-09-16 16:52:01,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 16:46:59,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 16:41:57,19,13.33,0.12,38.864147,-77.7026515
2023-09-16 16:36:55,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 16:31:53,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 16:26:51,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 16:21:49,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 16:16:47,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 16:11:45,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 16:06:43,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 16:01:41,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 15:56:39,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 15:51:37,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 15:46:35,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 15:41:33,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 15:36:31,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 15:31:29,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 15:26:27,19,13.33,0.12,38.864147,-77.7026515
2023-09-16 15:21:25,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 15:16:23,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 15:11:21,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 15:06:19,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 15:01:17,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 14:56:15,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 14:51:13,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 14:46:11,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 14:41:09,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 14:36:07,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 14:31:05,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 14:26:03,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 14:21:01,21,13.33,0.14,38.864147,-77.7026515
2023-09-16 14:16:01,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 14:10:59,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 14:05:55,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 14:00:53,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 13:55:51,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 13:50:49,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 13:45:47,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 13:40:45,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 13:35:43,19,13.33,0.12,38.864147,-77.7026515
2023-09-16 13:30:41,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 13:25:39,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 13:20:37,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 13:15:35,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 13:10:33,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 13:05:31,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 13:00:29,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 12:55:27,9,13.33,0.06,38.864147,-77.7026515
2023-09-16 12:50:25,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 12:45:23,19,13.33,0.12,38.864147,-77.7026515
2023-09-16 12:40:21,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 12:35:19,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 12:30:17,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 12:25:15,20,13.33,0.13,38.864147,-77.7026515
2023-09-16 12:20:13,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 12:15:11,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 12:10:09,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 12:05:07,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 12:00:05,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 11:55:03,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 11:50:02,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 11:44:59,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 11:39:57,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 11:34:55,9,13.33,0.06,38.864147,-77.7026515
2023-09-16 11:29:53,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 11:24:51,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 11:19:50,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 11:14:47,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 11:09:45,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 11:04:43,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 10:59:42,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 10:54:40,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 10:49:38,6,13.33,0.04,38.864147,-77.7026515
2023-09-16 10:44:36,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 10:39:33,6,13.33,0.04,38.864147,-77.7026515
2023-09-16 10:34:31,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 10:29:29,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 10:24:27,20,13.33,0.13,38.864147,-77.7026515
2023-09-16 10:19:25,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 10:14:23,5,13.33,0.03,38.864147,-77.7026515
2023-09-16 10:09:21,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 10:04:19,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 09:59:17,21,13.33,0.14,38.864147,-77.7026515
