Pos,Breeder,Pigeon,Arrival,Speed
1,Texas Outlaws,19633-AU15-FOYS,42:14.0,172.155
2,Junior Juanich,0402-AU15-JRL,47:36.0,163.569
3,Jerry Allensworth,0404-AU15-VITA,47:41.0,163.442
4,Alias-Alias,2013-AU15-ALIA,47:43.0,163.392
5,Greg Glazier,5749-AU15-SLI,47:44.0,163.366
6,Dal-Tex R P C,0032-AU15-DRPC,47:51.0,163.19
7,Greg Glazier,5768-AU15-SLI,47:53.0,163.139
8,N C Syndicate,1067-AU15-TXHC,47:57.0,163.038
9,Baldwin & Tilson,1194-AU15-TENT,48:02.0,162.913
10,Texas Outlaws,19632-AU15-FOYS,48:03.0,162.888
10,Redtex,0024-AU15-RTEX,48:03.0,162.888
12,Terry Montgomery,0220-AU15-MTHD,48:08.0,162.762
13,Woodsend/Perry,1512-AU15-CERO,48:11.0,162.687
14,Crestview Loft,25360-AU15-ARPU,48:12.0,162.662
14,Goshentown Lofts,5834-AU15-VITA,48:12.0,162.662
16,Flyhome Loft,1531-AU15-FLYH,48:15.0,162.587
17,Alias-Alias,2020-AU15-ALIA,48:16.0,162.562
18,Skip's Janssens,5313-AU15-GL,48:17.0,162.537
18,Bud & Orie Loft,51161-IF15-IRPC,48:17.0,162.537
20,Milner-Mckinsey,2488-AU15-VITA,48:21.0,162.437
21,Shawnie & Lenny Loft,1106-AU15-SMCC,48:28.0,162.262
22,Nanez Family Lofts,2177-AU15-NANE,48:30.0,162.212
23,Dal-Tex R P C,0031-AU15-DRPC,48:31.0,162.187
24,Jb & D,1214-IF15-CCC,48:36.0,162.063
25,Silver Dollar Loft,0101-AU15-SDOL,48:37.0,162.038
26,Protege Loft,0022-IF15-PROT,48:39.0,161.988
27,Mike Belus,22304-AU15-JEDD,48:42.0,161.914
28,Sierra Ranch Classic,0540-AU15-SIER,48:44.0,161.864
29,A P C Loft,15096-AU15-APC,48:45.0,161.839
30,Churn Creek Loft,9216-AU15-SRP,48:48.0,161.765
31,Sandstrom Brothers Loft,0302-AU15-SBL,48:55.0,161.591
32,Alias-Alias,2049-AU15-ALIA,48:56.0,161.567
33,Silver Dollar Loft,0036-AU15-SDOL,49:03.0,161.394
33,Flying D Loft 2,9512-AU15-FOYS,49:03.0,161.394
35,Clear Springs Loft,0263-AU15-NWFI,49:06.0,161.32
36,Equalizer Loft,0437-AU15-LAF,49:10.0,161.221
37,Mike Belus,22309-AU15-JEDD,49:13.0,161.148
38,Clear Springs Loft,0235-AU15-NWFI,49:17.0,161.049
39,Stenman Loft,5261-AU15-VITA,49:19.0,161
40,Skip's Janssens,5302-AU15-GL,49:28.0,160.78
41,Crowley's Ridge Loft,5226-AU15-SIRP,49:29.0,160.755
42,Dave Harrett,0009-AU15-JEDD,49:30.0,160.731
43,Dave Dudley,15046-AU15-PBLO,49:32.0,160.682
44,Dave Dudley,15047-AU15-PBLO,49:33.0,160.657
45,Mc Laughlin Lofts,2186-AU15-MCLO,49:34.0,160.633
46,Little Reata Loft,15441-AU15-JETT,49:36.0,160.584
47,Skip's Janssens,5310-AU15-GL,49:41.0,160.462
48,Emerson/Krass,1559-AU15-EMER,49:45.0,160.364
49,Non Pareil Loft,0016-AU15-NPL,49:48.0,160.291
50,Andy Skwiat,0042-AU15-ANDY,49:58.0,160.048
51,Redtex,0013-AU15-RTEX,50:08.0,159.806
52,American Lofts,3602-AU15-CORP,50:11.0,159.734
53,Woodsend/Perry,1513-AU15-CERO,50:15.0,159.637
54,Alonso Loft,0324-AU15-ALON,50:16.0,159.613
55,Captain Chuck,1609-AU15-CAPT,50:23.0,159.444
56,Shang N Dennis Yoh,0929-AU15-JEDD,50:24.0,159.42
57,Crestview Loft,25390-AU15-ARPU,50:30.0,159.276
58,Little Reata Loft,15442-AU15-JETT,50:32.0,159.228
59,J & M Partridge Loft,1225-AU15-PASO,50:35.0,159.156
