word,ipa_syl_1,ipa_syl_2,ipa_syl_3,ipa_syl_4,ipa_syl_5,ipa_syl_6
aancor,ˈɑn,ˌkɔr
aardvark,ˈɑr,ˌdvɑrk
aarti,ˈɑr,ˌti
ab,ˈeɪ,ˈbi
abdel,ˈæb,ˌdɛl
abscess,ˈæb,ˌsɛs
abshire,ˈæb,ˌʃaɪr
abstract,ˈæbs,ˌtrækt
abts,ˈeɪ,ˈbi,ˈti,ˈɛs
abzug,ˈæb,ˌzʌɡ
ac,ˈeɪ,ˈsi
accent,ˈæk,ˌsɛnt
access,ˈæk,ˌsɛs
accessed,ˈæk,ˌsɛst
accor,ˈæ,ˌkɔr
ackhouse,ˈæk,ˌhaʊs
ackroyd,ˈæk,ˌrɔɪd
addict,ˈæ,ˌdɪkt
addicts,ˈæ,ˌdɪkts
address,ˈæd,ˌrɛs
addwest,ˌæd,ˈwɛst
adjunct,ˈæ,ˌdʒʌŋkt
adjuncts,ˈæ,ˌdʒʌŋkts
adss,ˈeɪ,ˈdi,ˈɛ,ˈsɛs
adtec,ˈæd,ˌtɛk
advent,ˈæd,ˌvɛnt
adverse,ˈæd,ˌvɝs
advil,ˈæd,ˌvɪl
aesop,ˈi,ˌsɑp
afflik,ˌæf,ˈlɪk
afghan,ˈæf,ˌɡæn
afghans,ˈæf,ˌɡænz
afheldt,ˈæ,ˌfɛlt
ag,ˈeɪ,ˈɡi
agco,ˈæɡ,ˌkoʊ
agee,ˈeɪ,ˈdʒi
aha,ˌɑ,ˈhɑ
ahab,ˈeɪ,ˌhæb
ahlquist,ˈɑl,ˌkwɪst
ahlquists,ˈɑl,ˌkwɪsts
ai,ˈeɪ,ˈaɪ
aidid,ˌaɪ,ˈdid
aikoff,ˈaɪ,ˌkɔf
ailee,ˈeɪ,ˈli
aimee,ˈeɪ,ˈmi
aimone,ˈeɪ,ˌmoʊn
aipac,ˈaɪ,ˌpæk
airbag,ˈɛr,ˌbæɡ
airbags,ˈɛr,ˌbæɡz
airbase,ˈɛr,ˌbeɪs
airborne,ˈɛr,ˌbɔrn
aircraft,ˈɛr,ˌkræft
aircrafts,ˈɛr,ˌkræfts
aircrew,ˈɛr,ˌkru
airedale,ˈɛr,ˌdeɪl
airedales,ˈɛr,ˌdeɪlz
airfare,ˈɛr,ˌfɛr
airfares,ˈɛr,ˌfɛrz
airfield,ˈɛr,ˌfild
airfields,ˈɛr,ˌfildz
airfoil,ˈɛr,ˌfɔɪl
airfoils,ˈɛr,ˌfɔɪlz
airfone,ˈɛr,ˌfoʊn
airfones,ˈɛr,ˌfoʊnz
airframe,ˈɛr,ˌfreɪm
airframes,ˈɛr,ˌfreɪmz
airfreight,ˈɛr,ˌfreɪt
airgas,ˈɛr,ˌɡæs
airglow,ˈɛr,ˌɡloʊ
airhead,ˈɛr,ˌhɛd
airheadz,ˈɛr,ˌhɛdz
airlift,ˈɛr,ˌlɪft
airlifts,ˈɛr,ˌlɪfts
airline,ˈɛr,ˌlaɪn
airlines,ˈɛr,ˌlaɪnz
airlink,ˈɛr,ˌlɪŋk
airlinks,ˈɛr,ˌlɪŋks
airlock,ˈɛr,ˌlɔk
airlocks,ˈɛr,ˌlɔks
airmail,ˈɛr,ˌmeɪl
airmen,ˈɛr,ˌmɛn
airplane,ˈɛr,ˌpleɪn
airport,ˈɛr,ˌpɔrt
airports,ˈɛr,ˌpɔrts
airship,ˈɛr,ˌʃɪp
airships,ˈɛr,ˌʃɪps
airspace,ˈɛr,ˌspeɪs
airspeed,ˈɛr,ˌspid
airstrike,ˈɛrs,ˌtraɪk
airstrikes,ˈɛrs,ˌtraɪks
airstrip,ˈɛrs,ˌtrɪp
airstrips,ˈɛrs,ˌtrɪps
airtight,ˈɛr,ˌtaɪt
airtime,ˈɛr,ˌtaɪm
airtouch,ˈɛr,ˌtʌtʃ
airtran,ˈɛr,ˌtræn
airwave,ˈɛr,ˌweɪv
airwaves,ˈɛr,ˌweɪvz
airway,ˈɛr,ˌweɪ
airways,ˈɛr,ˌweɪz
ajax,ˈeɪ,ˌdʒæks
akbar,ˈɑk,ˌbɑr
alar,ˈeɪ,ˌlɑr
albrecht,ˈɔl,ˌbrɛkt
albright,ˈɔl,ˌbraɪt
alcan,ˈæl,ˌkæn
alcide,ˈæl,ˌsaɪd
alcott,ˈæl,ˌkɑt
alcove,ˈæl,ˌkoʊv
alcoves,ˈæl,ˌkoʊvz
alehouse,ˈeɪl,ˌhaʊs
alewife,ˈeɪl,ˌwaɪf
alewine,ˈeɪl,ˌwaɪn
alewives,ˈeɪl,ˌwaɪvz
alkanes,ˈæl,ˌkeɪnz
alkene,ˈæl,ˌkin
alkenes,ˈæl,ˌkinz
allbee,ˈɔl,ˌbi
allbright,ˈɔl,ˌbraɪt
allcock,ˈɔl,ˌkɑk
allday,ˈɔl,ˌdeɪ
