word,ipa_syl_1,ipa_syl_2,ipa_syl_3,ipa_syl_4,ipa_syl_5,ipa_syl_6,ipa_syl_7,ipa_syl_8,ipa_syl_9,ipa_syl_10,ipa_syl_11,ipa_syl_12,ipa_syl_13,ipa_syl_14
aaberg,ˈɑ,bɚɡ
aachen,ˈɑ,kən
aaker,ˈɑ,kɚ
aalseth,ˈɑl,sɛθ
aamodt,ˈɑ,mət
aaron,ˈɛ,rən
aarons,ˈɛ,rənz
aasen,ˈɑ,sən
abalone,ˌæ,bə,ˈloʊ,ni
abba,ˈæ,bə
abbate,ˈɑ,beɪt
abbe,ˈæ,bi
abbeville,ˈæb,vɪl
abbey,ˈæ,bi
abbie,ˈæ,bi
abbitt,ˈæ,bɪt
abbot,ˈæ,bət
abbott,ˈæ,bət
abby,ˈæ,bi
abco,ˈæb,koʊ
abdicated,ˈæb,də,ˌkeɪ,təd
abdicating,ˈæb,dɪ,ˌkeɪ,tɪŋ
abdication,ˌæb,dɪ,ˈkeɪ,ʃən
abdnor,ˈæb,dnɚ
abdo,ˈæb,doʊ
abel,ˈeɪ,bəl
abell,ˈeɪ,bəl
abeln,ˈæ,bɪln
abels,ˈeɪ,bəlz
abend,ˈæ,bɛnd
aber,ˈeɪ,bɚ
abercrombie,ˌæ,bɚk,ˈrɑm,bi
aberg,ˈæ,bɚɡ
aberle,ˈæ,bɚl
abernathy,ˈæ,bɚ,ˌnæ,θi
abernethy,ˈæ,bɚ,ˌnɛ,θi
aberration,ˌæ,bɚ,ˈeɪ,ʃən
aberrations,ˌæ,bɚ,ˈeɪ,ʃənz
abert,ˈæ,bɚt
abex,ˈeɪ,bɛks
abid,ˈeɪ,bɪd
abie,ˈæ,bi
abiola,ˌɑ,bi,ˈoʊ,lə
abitibi,ˌæ,bɪ,ˈti,bi
abitz,ˈæ,bɪts
abject,ˈæb,dʒɛkt
able,ˈeɪ,bəl
abled,ˈeɪ,bəld
abler,ˈeɪb,lɚ
ables,ˈeɪ,bəlz
ablest,ˈeɪ,bəlst
ably,ˈeɪb,li
abner,ˈæb,nɚ
abney,ˈæb,ni
abo,ˈɑ,boʊ
abolition,ˌæ,bə,ˈlɪ,ʃən
abolitionism,ˌæ,bə,ˈlɪ,ʃə,ˌnɪ,zəm
abra,ˈɑb,rə
abrams,ˈeɪb,rəmz
abrogated,ˈæb,rə,ˌɡeɪ,tɪd
abrogating,ˈæb,rə,ˌɡeɪ,tɪŋ
abrogation,ˌæb,rə,ˈɡeɪ,ʃən
abscam,ˈæb,skæm
absence,ˈæb,səns
absent,ˈæb,sənt
absher,ˈæb,ʃɚ
absinthe,ˈæb,sɪnθ
abso,ˈæb,soʊ
absolutely,ˌæb,sə,ˈlut,li
absoluteness,ˈæb,sə,ˌlut,nəs
absolution,ˌæb,sə,ˈlu,ʃən
abston,ˈæb,stən
abstracts,ˈæbs,trækts
abu,ˈæ,bu
abuladze,ˌæb,ju,ˈlæd,zi
aca,ˈæ,kə
academic,ˌæ,kə,ˈdɛ,mɪk
academics,ˌæ,kə,ˈdɛ,mɪks
acapulco,ˌæ,kə,ˈpʊl,koʊ
accents,ˈæk,sɛnts
accidental,ˌæk,sə,ˈdɛn,təl
acclamation,ˌæk,lə,ˈmeɪ,ʃən
acclimated,ˈæk,lə,ˌmeɪ,tɪd
acclimation,ˌæk,lə,ˈmeɪ,ʃən
acco,ˈæ,koʊ
accu,ˈæk,ju
accusation,ˌæk,jə,ˈzeɪ,ʃən
accusations,ˌæk,jə,ˈzeɪ,ʃənz
acecomm,ˈeɪs,kɑm
acer,ˈeɪ,sɚ
aces,ˈeɪ,sɪz
acey,ˈeɪ,si
achatz,ˈæ,kəts
achey,ˈæ,tʃi
aching,ˈeɪ,kɪŋ
achmed,ˈɑh,mɛd
achor,ˈeɪ,kɚ
achord,ˈæ,kɔrd
achorn,ˈæ,kɚn
achy,ˈeɪ,ki
acid,ˈæ,səd
acidosis,ˌæ,sə,ˈdoʊ,səs
acids,ˈæ,sədz
acker,ˈæ,kɚ
ackert,ˈæ,kɚt
ackland,ˈæk,lənd
ackles,ˈæ,kəlz
ackley,ˈæk,li
acklin,ˈæk,lɪn
ackman,ˈæk,mən
acmat,ˈæk,mæt
acme,ˈæk,mi
acne,ˈæk,ni
acoff,ˈæ,kɔf
acorn,ˈeɪ,kɔrn
acorns,ˈeɪ,kɔrnz
acott,ˈeɪ,kɔt
acquiescence,ˌæk,wi,ˈɛ,səns
acquiescing,ˌæk,wi,ˈɛ,sɪŋ
acquisition,ˌæk,wə,ˈzɪ,ʃən
acquisitions,ˌæk,wə,ˈzɪ,ʃənz
acre,ˈeɪ,kɚ
acreage,ˈeɪk,rədʒ
acres,ˈeɪ,kɚz
acrey,ˈæk,ri
acri,ˈɑk,ri
acrid,ˈæk,rɪd
acrimony,ˈæk,rɪ,ˌmoʊ,ni
acro,ˈæk,roʊ
acrobatic,ˌæk,rə,ˈbæ,tɪk
acrobatics,ˌæk,rə,ˈbæ,tɪks
acted,ˈæk,təd
actel,ˈæk,tɛl
actin,ˈæk,tən
acting,ˈæk,tɪŋ
action,ˈæk,ʃən
actions,ˈæk,ʃənz
activated,ˈæk,tə,ˌveɪ,təd
activating,ˈæk,tə,ˌveɪ,tɪŋ
activation,ˌæk,tə,ˈveɪ,ʃən
activator,ˈæk,tə,ˌveɪ,tɚ
active,ˈæk,tɪv
actives,ˈæk,tɪvz
activision,ˈæk,tɪ,ˌvɪ,ʒən
activism,ˈæk,tɪ,ˌvɪ,zəm
acton,ˈæk,tən
actor,ˈæk,tɚ
actors,ˈæk,tɚz
actress,ˈæk,trəs
actual,ˈæk,ʃəl
actually,ˈæk,ʃli
