word,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
brine,ˈbraɪn,-,-,-,-,-
dine,ˈdaɪn,-,-,-,-,-
fine,ˈfaɪn,-,-,-,-,-
line,ˈlaɪn,-,-,-,-,-
pine,ˈpaɪn,-,-,-,-,-
shine,ˈʃaɪn,-,-,-,-,-
shrine,ˈʃraɪn,-,-,-,-,-
spine,ˈspaɪn,-,-,-,-,-
spline,ˈsplaɪn,-,-,-,-,-
swine,ˈswaɪn,-,-,-,-,-
twine,ˈtwaɪn,-,-,-,-,-
vine,ˈvaɪn,-,-,-,-,-
whine,ˈwaɪn,-,-,-,-,-
wine,ˈwaɪn,-,-,-,-,-
affine,ə,ˈfaɪn,-,-,-,-
align,ə,ˈlaɪn,-,-,-,-
assign,ə,ˈsaɪn,-,-,-,-
benign,bə,ˈnaɪn,-,-,-,-
combine,kəm,ˈbaɪn,-,-,-,-
confine,kən,ˈfaɪn,-,-,-,-
decline,dɪ,ˈklaɪn,-,-,-,-
define,dɪ,ˈfaɪn,-,-,-,-
design,dɪ,ˈzaɪn,-,-,-,-
divine,də,ˈvaɪn,-,-,-,-
enshrine,ɛn,ˈʃraɪn,-,-,-,-
entwine,ɛn,ˈtwaɪn,-,-,-,-
equine,ˈiː,kwaɪn,-,-,-,-
feline,ˈfiː,laɪn,-,-,-,-
incline,ɪn,ˈklaɪn,-,-,-,-
leonine,ˈliː,ə,naɪn,-,-,-
lupine,ˈluː,paɪn,-,-,-,-
anodyne,ˈæ,nə,daɪn,-,-,-
borderline,ˈbɔːr,dər,laɪn,-,-,-
byzantine,ˈbɪz,ən,taɪn,-,-,-
centerline,ˈsɛn,tər,laɪn,-,-,-
crystalline,ˈkrɪs,tə,laɪn,-,-,-
eglantine,ˈɛg,lən,taɪn,-,-,-
interline,ˌɪn,tər,ˈlaɪn,-,-,-
intertwine,ˌɪn,tər,ˈtwaɪn,-,-,-
realign,ˌri,ə,ˈlaɪn,-,-,-
reassign,ˌri,ə,ˈsaɪn,-,-,-
recombine,ˌri,kəm,ˈbaɪn,-,-,-
redefine,ˌri,dɪ,ˈfaɪn,-,-,-
saturnine,ˈsæ,tər,naɪn,-,-,-
serpentine,ˈsɜːr,pən,taɪn,-,-,-
undermine,ˌən,dər,ˈmaɪn,-,-,-
underline,ˌʌn,dər,ˈlaɪn,-,-,-
