word,rhyme_unit,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
guise,aɪz,ˈgaɪz,x,x,x,x,x
prize,aɪz,ˈpraɪz,x,x,x,x,x
rise,aɪz,ˈraɪz,x,x,x,x,x
size,aɪz,ˈsaɪz,x,x,x,x,x
wise,aɪz,ˈwaɪz,x,x,x,x,x
advise,aɪz,əd,ˈvaɪz,x,x,x,x
arise,aɪz,ə,ˈraɪz,x,x,x,x
chastise,aɪz,ˈtʃæ,ˌstaɪz,x,x,x,x
comprise,aɪz,kəm,ˈpraɪz,x,x,x,x
despise,aɪz,dɪ,ˈspaɪz,x,x,x,x
devise,aɪz,dɪ,ˈvaɪz,x,x,x,x
revise,aɪz,ˈri,ˌvaɪz,x,x,x,x
surprise,aɪz,sər,ˈpraɪz,x,x,x,x
compromise,aɪz,ˈkɑm,prə,ˌmaɪz,x,x,x
criticize,aɪz,ˈkrɪ,tə,ˌsaɪz,x,x,x
emphasize,aɪz,ˈɛm,fə,ˌsaɪz,x,x,x
enterprise,aɪz,ˈɛn,tər,ˌpraɪz,x,x,x
exercise,aɪz,ˈɛk,sər,ˌsaɪz,x,x,x
improvise,aɪz,ˈɪm,prə,ˌvaɪz,x,x,x
organize,aɪz,ˈɔr,gə,ˌnaɪz,x,x,x
recognize,aɪz,ˈrɛ,kɪg,ˌnaɪz,x,x,x
supervise,aɪz,ˈsu,pər,ˌvaɪz,x,x,x
characterize,aɪz,ˈkɛr,ɪk,tə,ˌraɪz,x,x
demoralize,aɪz,dɪ,ˈmɔr,ə,ˌlaɪz,x,x
familiarize,aɪz,fə,ˈmɪl,jə,ˌraɪz,x,x
philosophize,aɪz,fə,ˈlɑ,sə,ˌfaɪz,x,x
revolutionize,aɪz,ˌrɛ,və,ˈlu,ʃə,ˌnaɪz,x
conceptualize,aɪz,kən,ˈsɛp,tʃə,wə,ˌlaɪz,x
compartmentalize,aɪz,kəm,ˌpɑrt,ˈmɛn,tə,ˌlaɪz,x
individualize,aɪz,ˌɪn,də,ˈvɪ,dʒə,wə,ˌlaɪz
institutionalize,aɪz,ˌɪn,stə,ˈtu,ʃ,nə,ˌlaɪz
