Timestamp,Cubic Feet Per Second
2026-05-28 03:45:00,17500
2026-05-28 03:30:00,17400
2026-05-28 03:15:00,17400
2026-05-28 03:00:00,17300
2026-05-28 02:45:00,17200
2026-05-28 02:30:00,17100
2026-05-28 02:15:00,17100
2026-05-28 02:00:00,17100
2026-05-28 01:45:00,17000
2026-05-28 01:30:00,17000
2026-05-28 01:15:00,17000
2026-05-28 01:00:00,17000
2026-05-28 00:45:00,16900
2026-05-28 00:30:00,16900
2026-05-28 00:15:00,16900
2026-05-28 00:00:00,16900
2026-05-27 23:45:00,16900
2026-05-27 23:30:00,16900
2026-05-27 23:15:00,16900
2026-05-27 23:00:00,16900
2026-05-27 22:45:00,16900
2026-05-27 22:30:00,16900
2026-05-27 22:15:00,17000
2026-05-27 22:00:00,17000
2026-05-27 21:45:00,17000
2026-05-27 21:30:00,17000
2026-05-27 21:15:00,17000
2026-05-27 21:00:00,17000
2026-05-27 20:45:00,17100
2026-05-27 20:30:00,17100
2026-05-27 20:15:00,17100
2026-05-27 20:00:00,17200
2026-05-27 19:45:00,17200
2026-05-27 19:30:00,17200
2026-05-27 19:15:00,17300
2026-05-27 19:00:00,17300
2026-05-27 18:45:00,17400
2026-05-27 18:30:00,17400
2026-05-27 18:15:00,17400
2026-05-27 18:00:00,17400
2026-05-27 17:45:00,17500
2026-05-27 17:30:00,17600
2026-05-27 17:15:00,17600
2026-05-27 17:00:00,17600
2026-05-27 16:45:00,17700
2026-05-27 16:30:00,17700
2026-05-27 16:15:00,17700
2026-05-27 16:00:00,17800
2026-05-27 15:45:00,17800
2026-05-27 15:30:00,17900
2026-05-27 15:15:00,17900
2026-05-27 15:00:00,17900
2026-05-27 14:45:00,17900
2026-05-27 14:30:00,17900
2026-05-27 14:15:00,17900
2026-05-27 14:00:00,17900
2026-05-27 13:45:00,17800
2026-05-27 13:30:00,17800
2026-05-27 13:15:00,17800
2026-05-27 13:00:00,17800
2026-05-27 12:45:00,17800
2026-05-27 12:30:00,17700
2026-05-27 12:15:00,17700
2026-05-27 12:00:00,17800
2026-05-27 11:45:00,17800
2026-05-27 11:30:00,17900
2026-05-27 11:15:00,17900
2026-05-27 11:00:00,18000
2026-05-27 10:45:00,18000
2026-05-27 10:30:00,18000
2026-05-27 10:15:00,18000
2026-05-27 10:00:00,18100
2026-05-27 09:45:00,18200
2026-05-27 09:30:00,18200
2026-05-27 09:15:00,18200
2026-05-27 09:00:00,18300
2026-05-27 08:45:00,18300
2026-05-27 08:30:00,18300
2026-05-27 08:15:00,18300
2026-05-27 08:00:00,18300
2026-05-27 07:45:00,18300
2026-05-27 07:30:00,18300
2026-05-27 07:15:00,18400
2026-05-27 07:00:00,18400
2026-05-27 06:45:00,18500
2026-05-27 06:30:00,18400
2026-05-27 06:15:00,18500
2026-05-27 06:00:00,18500
2026-05-27 05:45:00,18500
2026-05-27 05:30:00,18500
2026-05-27 05:15:00,18500
2026-05-27 05:00:00,18500
2026-05-27 04:45:00,18500
2026-05-27 04:30:00,18500
2026-05-27 04:15:00,18600
2026-05-27 04:00:00,18500
2026-05-27 03:45:00,18500
2026-05-27 03:30:00,18600
2026-05-27 03:15:00,18600
2026-05-27 03:00:00,18600
2026-05-27 02:45:00,18600
2026-05-27 02:30:00,18700
2026-05-27 02:15:00,18700
2026-05-27 02:00:00,18700
2026-05-27 01:45:00,18700
2026-05-27 01:30:00,18600
2026-05-27 01:15:00,18700
2026-05-27 01:00:00,18700
2026-05-27 00:45:00,18700
2026-05-27 00:30:00,18700
2026-05-27 00:15:00,18700
2026-05-27 00:00:00,18800
2026-05-26 23:45:00,18800
2026-05-26 23:30:00,18800
2026-05-26 23:15:00,18800
2026-05-26 23:00:00,18800
2026-05-26 22:45:00,18900
2026-05-26 22:30:00,18900
2026-05-26 22:15:00,19000
2026-05-26 22:00:00,19000
2026-05-26 21:45:00,19000
2026-05-26 21:30:00,19000
2026-05-26 21:15:00,19000
2026-05-26 21:00:00,19000
2026-05-26 20:45:00,19100
2026-05-26 20:30:00,19100
2026-05-26 20:15:00,19100
2026-05-26 20:00:00,19100
2026-05-26 19:45:00,19100
2026-05-26 19:30:00,19100
2026-05-26 19:15:00,19100
2026-05-26 19:00:00,19100
2026-05-26 18:45:00,19000
2026-05-26 18:30:00,18900
2026-05-26 18:15:00,18900
2026-05-26 18:00:00,18800
2026-05-26 17:45:00,18700
2026-05-26 17:30:00,18700
2026-05-26 17:15:00,18700
2026-05-26 17:00:00,18700
2026-05-26 16:45:00,18700
2026-05-26 16:30:00,18700
2026-05-26 16:15:00,18600
2026-05-26 16:00:00,18500
2026-05-26 15:45:00,18600
2026-05-26 15:30:00,18600
2026-05-26 15:15:00,18500
2026-05-26 15:00:00,18500
2026-05-26 14:45:00,18500
2026-05-26 14:30:00,18500
2026-05-26 14:15:00,18500
2026-05-26 14:00:00,18500
