Timestamp,Cubic Feet Per Second
2026-05-28 03:45:00,1940
2026-05-28 03:30:00,1950
2026-05-28 03:15:00,1960
2026-05-28 03:00:00,1980
2026-05-28 02:45:00,1990
2026-05-28 02:30:00,2010
2026-05-28 02:15:00,2050
2026-05-28 02:00:00,2040
2026-05-28 01:45:00,2060
2026-05-28 01:30:00,2090
2026-05-28 01:15:00,2080
2026-05-28 01:00:00,2140
2026-05-28 00:45:00,2150
2026-05-28 00:30:00,2190
2026-05-28 00:15:00,2210
2026-05-28 00:00:00,2230
2026-05-27 23:45:00,2270
2026-05-27 23:30:00,2280
2026-05-27 23:15:00,2320
2026-05-27 23:00:00,2340
2026-05-27 22:45:00,2380
2026-05-27 22:30:00,2400
2026-05-27 22:15:00,2440
2026-05-27 22:00:00,2470
2026-05-27 21:45:00,2480
2026-05-27 21:30:00,2540
2026-05-27 21:15:00,2530
2026-05-27 21:00:00,2550
2026-05-27 20:45:00,2540
2026-05-27 20:30:00,2530
2026-05-27 20:15:00,2520
2026-05-27 20:00:00,2500
2026-05-27 19:45:00,2500
2026-05-27 19:30:00,2470
2026-05-27 19:15:00,2470
2026-05-27 19:00:00,2450
2026-05-27 18:45:00,2420
2026-05-27 18:30:00,2380
2026-05-27 18:15:00,2380
2026-05-27 18:00:00,2390
2026-05-27 17:45:00,2390
2026-05-27 17:30:00,2380
2026-05-27 17:15:00,2340
2026-05-27 17:00:00,2350
2026-05-27 16:45:00,2310
2026-05-27 16:30:00,2230
2026-05-27 16:15:00,2170
2026-05-27 16:00:00,2100
2026-05-27 15:45:00,1980
2026-05-27 15:30:00,1920
2026-05-27 15:15:00,1900
2026-05-27 15:00:00,1810
2026-05-27 14:45:00,1750
2026-05-27 14:30:00,1770
2026-05-27 14:15:00,1760
2026-05-27 14:00:00,1680
2026-05-27 13:45:00,1650
2026-05-27 13:30:00,1580
2026-05-27 13:15:00,1510
2026-05-27 13:00:00,1450
2026-05-27 12:45:00,1410
2026-05-27 12:30:00,1370
2026-05-27 12:15:00,1290
2026-05-27 12:00:00,1240
2026-05-27 11:45:00,1250
2026-05-27 11:30:00,1070
2026-05-27 11:15:00,1030
2026-05-27 11:00:00,1010
2026-05-27 10:45:00,970
2026-05-27 10:30:00,946
2026-05-27 10:15:00,930
2026-05-27 10:00:00,930
2026-05-27 09:45:00,938
2026-05-27 09:30:00,938
2026-05-27 09:15:00,938
2026-05-27 09:00:00,938
2026-05-27 08:45:00,938
2026-05-27 08:30:00,946
2026-05-27 08:15:00,954
2026-05-27 08:00:00,946
2026-05-27 07:45:00,946
2026-05-27 07:30:00,970
2026-05-27 07:15:00,962
2026-05-27 07:00:00,962
2026-05-27 06:45:00,970
2026-05-27 06:30:00,970
2026-05-27 06:15:00,978
2026-05-27 06:00:00,986
2026-05-27 05:45:00,994
2026-05-27 05:30:00,994
2026-05-27 05:15:00,994
2026-05-27 05:00:00,1020
2026-05-27 04:45:00,1020
2026-05-27 04:30:00,1010
2026-05-27 04:15:00,1000
2026-05-27 04:00:00,1020
2026-05-27 03:45:00,1040
2026-05-27 03:30:00,1030
2026-05-27 03:15:00,1040
2026-05-27 03:00:00,1040
2026-05-27 02:45:00,1040
2026-05-27 02:30:00,1040
2026-05-27 02:15:00,1040
2026-05-27 02:00:00,1060
2026-05-27 01:45:00,1050
2026-05-27 01:30:00,1070
2026-05-27 01:15:00,1070
2026-05-27 01:00:00,1070
2026-05-27 00:45:00,1080
2026-05-27 00:30:00,1100
2026-05-27 00:15:00,1100
2026-05-27 00:00:00,1100
2026-05-26 23:45:00,1100
2026-05-26 23:30:00,1110
