word,rhyme_unit,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
guise,aɪz,ˈgaɪz,-,-,-,-,-
prize,aɪz,ˈpraɪz,-,-,-,-,-
rise,aɪz,ˈraɪz,-,-,-,-,-
size,aɪz,ˈsaɪz,-,-,-,-,-
wise,aɪz,ˈwaɪz,-,-,-,-,-
advise,aɪz,əd,ˈvaɪz,-,-,-,-
arise,aɪz,ə,ˈraɪz,-,-,-,-
chastise,aɪz,ˈtʃæ,ˌstaɪz,-,-,-,-
comprise,aɪz,kəm,ˈpraɪz,-,-,-,-
despise,aɪz,dɪ,ˈspaɪz,-,-,-,-
devise,aɪz,dɪ,ˈvaɪz,-,-,-,-
revise,aɪz,ˈri,ˌvaɪz,-,-,-,-
surprise,aɪz,sər,ˈpraɪz,-,-,-,-
compromise,aɪz,ˈkɑm,prə,ˌmaɪz,-,-,-
criticize,aɪz,ˈkrɪ,tə,ˌsaɪz,-,-,-
emphasize,aɪz,ˈɛm,fə,ˌsaɪz,-,-,-
enterprise,aɪz,ˈɛn,tər,ˌpraɪz,-,-,-
e-ercise,aɪz,ˈɛk,sər,ˌsaɪz,-,-,-
improvise,aɪz,ˈɪm,prə,ˌvaɪz,-,-,-
organize,aɪz,ˈɔr,gə,ˌnaɪz,-,-,-
recognize,aɪz,ˈrɛ,kɪg,ˌnaɪz,-,-,-
supervise,aɪz,ˈsu,pər,ˌvaɪz,-,-,-
characterize,aɪz,ˈkɛr,ɪk,tə,ˌraɪz,-,-
demoralize,aɪz,dɪ,ˈmɔr,ə,ˌlaɪz,-,-
familiarize,aɪz,fə,ˈmɪl,jə,ˌraɪz,-,-
philosophize,aɪz,fə,ˈlɑ,sə,ˌfaɪz,-,-
revolutionize,aɪz,ˌrɛ,və,ˈlu,ʃə,ˌnaɪz,-
conceptualize,aɪz,kən,ˈsɛp,tʃə,wə,ˌlaɪz,-
compartmentalize,aɪz,kəm,ˌpɑrt,ˈmɛn,tə,ˌlaɪz,-
individualize,aɪz,ˌɪn,də,ˈvɪ,dʒə,wə,ˌlaɪz
institutionalize,aɪz,ˌɪn,stə,ˈtu,ʃ,nə,ˌlaɪz
blend,ɛnd,ˈblɛnd,-,-,-,-,-
end,ɛnd,ˈɛnd,-,-,-,-,-
fend,ɛnd,ˈfɛnd,-,-,-,-,-
lend,ɛnd,ˈlɛnd,-,-,-,-,-
mend,ɛnd,ˈmɛnd,-,-,-,-,-
spend,ɛnd,ˈspɛnd,-,-,-,-,-
tend,ɛnd,ˈtɛnd,-,-,-,-,-
trend,ɛnd,ˈtrɛnd,-,-,-,-,-
wend,ɛnd,ˈwɛnd,-,-,-,-,-
amend,ɛnd,ə,ˈmɛnd,-,-,-,-
attend,ɛnd,ə,ˈtɛnd,-,-,-,-
ascend,ɛnd,ə,ˈsɛnd,-,-,-,-
contend,ɛnd,kən,ˈtɛnd,-,-,-,-
defend,ɛnd,dɪ,ˈfɛnd,-,-,-,-
depend,ɛnd,dɪ,ˈpɛnd,-,-,-,-
intend,ɛnd,ɪn,ˈtɛnd,-,-,-,-
pretend,ɛnd,prɪ,ˈtɛnd,-,-,-,-
portend,ɛnd,pɔr,ˈtɛnd,-,-,-,-
unbend,ɛnd,ʌn,ˈbɛnd,-,-,-,-
suspend,ɛnd,sə,ˈspɛnd,-,-,-,-
transcend,ɛnd,træn,ˈsɛnd,-,-,-,-
apprehend,ɛnd,ˌæ,prɪ,ˈhɛnd,-,-,-
comprehend,ɛnd,ˌkɑm,prɪ,ˈhɛnd,-,-,-
condescend,ɛnd,ˌkɑn,dɪ,ˈsɛnd,-,-,-
reprehend,ɛnd,ˌrɛ,prɪ,ˈhɛnd,-,-,-
recommend,ɛnd,ˌrɛ,kə,ˈmɛnd,-,-,-
overe-tend,ɛnd,ˌoʊ,vər,ɪk,ˈstɛnd,-,-
misapprehend,ɛnd,ˌmɪs,ˌæ,prɪ,ˈhɛnd,-,-
miscomprehend,ɛnd,ˌmɪs,ˌkɑm,prɪ,ˈhɛnd,-,-
brine,aɪn,ˈbraɪn,-,-,-,-,-
dine,aɪn,ˈdaɪn,-,-,-,-,-
fine,aɪn,ˈfaɪn,-,-,-,-,-
line,aɪn,ˈlaɪn,-,-,-,-,-
pine,aɪn,ˈpaɪn,-,-,-,-,-
shine,aɪn,ˈʃaɪn,-,-,-,-,-
shrine,aɪn,ˈʃraɪn,-,-,-,-,-
spine,aɪn,ˈspaɪn,-,-,-,-,-
spline,aɪn,ˈsplaɪn,-,-,-,-,-
swine,aɪn,ˈswaɪn,-,-,-,-,-
twine,aɪn,ˈtwaɪn,-,-,-,-,-
vine,aɪn,ˈvaɪn,-,-,-,-,-
whine,aɪn,ˈwaɪn,-,-,-,-,-
wine,aɪn,ˈwaɪn,-,-,-,-,-
affine,aɪn,ə,ˈfaɪn,-,-,-,-
align,aɪn,ə,ˈlaɪn,-,-,-,-
assign,aɪn,ə,ˈsaɪn,-,-,-,-
benign,aɪn,bə,ˈnaɪn,-,-,-,-
combine,aɪn,kəm,ˈbaɪn,-,-,-,-
confine,aɪn,kən,ˈfaɪn,-,-,-,-
decline,aɪn,dɪ,ˈklaɪn,-,-,-,-
define,aɪn,dɪ,ˈfaɪn,-,-,-,-
design,aɪn,dɪ,ˈzaɪn,-,-,-,-
divine,aɪn,də,ˈvaɪn,-,-,-,-
enshrine,aɪn,ɛn,ˈʃraɪn,-,-,-,-
entwine,aɪn,ɛn,ˈtwaɪn,-,-,-,-
equine,aɪn,ˈiː,kwaɪn,-,-,-,-
feline,aɪn,ˈfiː,laɪn,-,-,-,-
incline,aɪn,ɪn,ˈklaɪn,-,-,-,-
leonine,aɪn,ˈliː,ə,naɪn,-,-,-
lupine,aɪn,ˈluː,paɪn,-,-,-,-
anodyne,aɪn,ˈæ,nə,daɪn,-,-,-
borderline,aɪn,ˈbɔːr,dər,laɪn,-,-,-
byzantine,aɪn,ˈbɪz,ən,taɪn,-,-,-
centerline,aɪn,ˈsɛn,tər,laɪn,-,-,-
crystalline,aɪn,ˈkrɪs,tə,laɪn,-,-,-
eglantine,aɪn,ˈɛg,lən,taɪn,-,-,-
interline,aɪn,ˌɪn,tər,ˈlaɪn,-,-,-
intertwine,aɪn,ˌɪn,tər,ˈtwaɪn,-,-,-
realign,aɪn,ˌri,ə,ˈlaɪn,-,-,-
reassign,aɪn,ˌri,ə,ˈsaɪn,-,-,-
recombine,aɪn,ˌri,kəm,ˈbaɪn,-,-,-
redefine,aɪn,ˌri,dɪ,ˈfaɪn,-,-,-
saturnine,aɪn,ˈsæ,tər,naɪn,-,-,-
serpentine,aɪn,ˈsɜːr,pən,taɪn,-,-,-
undermine,aɪn,ˌən,dər,ˈmaɪn,-,-,-
underline,aɪn,ˌʌn,dər,ˈlaɪn,-,-,-
checked,ɛkt,ˈtʃɛkt,-,-,-
decked,ɛkt,ˈdɛkt,-,-,-
flecked,ɛkt,ˈflɛkt,-,-,-
sect,ɛkt,ˈsɛkt,-,-,-
specked,ɛkt,ˈspɛkt,-,-,-
wrecked,ɛkt,ˈrɛkt,-,-,-
affect,ɛkt,ə,ˈfɛkt,-,-
collect,ɛkt,kə,ˈlɛkt,-,-
correct,ɛkt,kə,ˈrɛkt,-,-
direct,ɛkt,dɪ,ˈrɛkt,-,-
erect,ɛkt,ɪ,ˈrɛkt,-,-
protect,ɛkt,prə,ˈtɛkt,-,-
reflect,ɛkt,rɪ,ˈflɛkt,-,-
respect,ɛkt,rɪ,ˈspɛkt,-,-
disconnect,ɛkt,ˌdɪs,kə,ˈnɛkt,-
disrespect,ɛkt,ˌdɪs,rɪ,ˈspɛkt,-
indirect,ɛkt,ˌɪn,dɪ,ˈrɛkt,-
intersect,ɛkt,ˌɪn,tər,ˈsɛkt,-
misdirect,ɛkt,ˌmɪs,dɪ,ˈrɛkt,-
recollect,ɛkt,ˌrɛk,ə,ˈlɛkt,-
resurrect,ɛkt,ˌrɛz,ə,ˈrɛkt,-
interconnect,ɛkt,ˌɪn,tər,kə,ˈnɛkt
overprotect,ɛkt,ˌoʊ,vər,prə,ˈtɛkt
brain,eɪn,ˈbreɪn,-,-,-,-,-
deign,eɪn,ˈdeɪn,-,-,-,-,-
feign,eɪn,ˈfeɪn,-,-,-,-,-
reign,eɪn,ˈreɪn,-,-,-,-,-
slain,eɪn,ˈsleɪn,-,-,-,-,-
