word,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
checked,ɛkt,ˈtʃɛkt,-,-,-
decked,ɛkt,ˈdɛkt,-,-,-
flecked,ɛkt,ˈflɛkt,-,-,-
sect,ɛkt,ˈsɛkt,-,-,-
specked,ɛkt,ˈspɛkt,-,-,-
trecked,ɛkt,ˈtrɛkt,-,-,-
wrecked,ɛkt,ˈrɛkt,-,-,-
affect,ɛkt,ə,ˈfɛkt,-,-
aspect,ɛkt,ˈæs,pɛkt,-,-
bisect,ɛkt,baɪ,ˈsɛkt,-,-
collect,ɛkt,kə,ˈlɛkt,-,-
connect,ɛkt,kə,ˈnɛkt,-,-
correct,ɛkt,kə,ˈrɛkt,-,-
deflect,ɛkt,dɪ,ˈflɛkt,-,-
detect,ɛkt,dɪ,ˈtɛkt,-,-
direct,ɛkt,dɪ,ˈrɛkt,-,-
effect,ɛkt,ɪ,ˈfɛkt,-,-
eject,ɛkt,i,ˈdʒɛkt,-,-
elect,ɛkt,ɪ,ˈlɛkt,-,-
erect,ɛkt,ɪ,ˈrɛkt,-,-
expect,ɛkt,ɪk,ˈspɛkt,-,-
infect,ɛkt,ɪn,ˈfɛkt,-,-
inject,ɛkt,ɪn,ˈdʒɛkt,-,-
insect,ɛkt,ˈɪn,sɛkt,-,-
inspect,ɛkt,ɪn,ˈspɛkt,-,-
neglect,ɛkt,nɪ,ˈɡlɛkt,-,-
perfect,ɛkt,pər,ˈfɛkt,-,-
protect,ɛkt,prə,ˈtɛkt,-,-
reflect,ɛkt,rɪ,ˈflɛkt,-,-
reject,ɛkt,rɪ,ˈdʒɛkt,-,-
respect,ɛkt,rɪ,ˈspɛkt,-,-
select,ɛkt,sə,ˈlɛkt,-,-
subject,ɛkt,səb,ˈdʒɛkt,-,-
suspect,ɛkt,sə,ˈspɛkt,-,-
unchecked,ɛkt,ʌn,ˈtʃɛkt,-,-
architect,ɛkt,ˈɑrk,ɪ,tɛkt,-
deselect,ɛkt,di,sə,ˈlɛkt,-
disconnect,ɛkt,ˌdɪs,kə,ˈnɛkt,-
disinfect,ɛkt,ˌdɪs,ɪn,ˈfɛkt,-
disrespect,ɛkt,ˌdɪs,rɪ,ˈspɛkt,-
incorrect,ɛkt,ˌɪn,kə,ˈrɛkt,-
indirect,ɛkt,ˌɪn,dɪ,ˈrɛkt,-
intellect,ɛkt,ˈɪn,tə,lɛkt,-
intersect,ɛkt,ˌɪn,tər,ˈsɛkt,-
misdirect,ɛkt,ˌmɪs,dɪ,ˈrɛkt,-
recollect,ɛkt,ˌrɛk,ə,ˈlɛkt,-
redirect,ɛkt,ˌri,də,ˈrɛkt,-
resurrect,ɛkt,ˌrɛz,ə,ˈrɛkt,-
retrospect,ɛkt,ˈrɛ,trə,spɛkt,-
aftereffect,ɛkt,ˈæf,tər,ə,ˌfɛkt
interconnect,ɛkt,ˌɪn,tər,kə,ˈnɛkt
overprotect,ɛkt,ˌoʊ,vər,prə,ˈtɛkt
