word,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
blend,ˈblɛnd,-,-,-,-,-
end,ˈɛnd,-,-,-,-,-
fend,ˈfɛnd,-,-,-,-,-
lend,ˈlɛnd,-,-,-,-,-
mend,ˈmɛnd,-,-,-,-,-
spend,ˈspɛnd,-,-,-,-,-
tend,ˈtɛnd,-,-,-,-,-
trend,ˈtrɛnd,-,-,-,-,-
wend,ˈwɛnd,-,-,-,-,-
amend,ə,ˈmɛnd,-,-,-,-
attend,ə,ˈtɛnd,-,-,-,-
ascend,ə,ˈsɛnd,-,-,-,-
contend,kən,ˈtɛnd,-,-,-,-
defend,dɪ,ˈfɛnd,-,-,-,-
depend,dɪ,ˈpɛnd,-,-,-,-
intend,ɪn,ˈtɛnd,-,-,-,-
pretend,prɪ,ˈtɛnd,-,-,-,-
portend,pɔr,ˈtɛnd,-,-,-,-
unbend,ʌn,ˈbɛnd,-,-,-,-
suspend,sə,ˈspɛnd,-,-,-,-
transcend,træn,ˈsɛnd,-,-,-,-
apprehend,ˌæ,prɪ,ˈhɛnd,-,-,-
comprehend,ˌkɑm,prɪ,ˈhɛnd,-,-,-
condescend,ˌkɑn,dɪ,ˈsɛnd,-,-,-
reprehend,ˌrɛ,prɪ,ˈhɛnd,-,-,-
recommend,ˌrɛ,kə,ˈmɛnd,-,-,-
overe-tend,ˌoʊ,vər,ɪk,ˈstɛnd,-,-
misapprehend,ˌmɪs,ˌæ,prɪ,ˈhɛnd,-,-
miscomprehend,ˌmɪs,ˌkɑm,prɪ,ˈhɛnd,-,-
