word,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
brine,aɪn,ˈbraɪn,-,-,-,-,-
dine,aɪn,ˈdaɪn,-,-,-,-,-
fine,aɪn,ˈfaɪn,-,-,-,-,-
line,aɪn,ˈlaɪn,-,-,-,-,-
pine,aɪn,ˈpaɪn,-,-,-,-,-
shine,aɪn,ˈʃaɪn,-,-,-,-,-
shrine,aɪn,ˈʃraɪn,-,-,-,-,-
spine,aɪn,ˈspaɪn,-,-,-,-,-
spline,aɪn,ˈsplaɪn,-,-,-,-,-
swine,aɪn,ˈswaɪn,-,-,-,-,-
twine,aɪn,ˈtwaɪn,-,-,-,-,-
vine,aɪn,ˈvaɪn,-,-,-,-,-
whine,aɪn,ˈwaɪn,-,-,-,-,-
wine,aɪn,ˈwaɪn,-,-,-,-,-
affine,aɪn,ə,ˈfaɪn,-,-,-,-
align,aɪn,ə,ˈlaɪn,-,-,-,-
assign,aɪn,ə,ˈsaɪn,-,-,-,-
benign,aɪn,bə,ˈnaɪn,-,-,-,-
combine,aɪn,kəm,ˈbaɪn,-,-,-,-
confine,aɪn,kən,ˈfaɪn,-,-,-,-
decline,aɪn,dɪ,ˈklaɪn,-,-,-,-
define,aɪn,dɪ,ˈfaɪn,-,-,-,-
design,aɪn,dɪ,ˈzaɪn,-,-,-,-
divine,aɪn,də,ˈvaɪn,-,-,-,-
enshrine,aɪn,ɛn,ˈʃraɪn,-,-,-,-
entwine,aɪn,ɛn,ˈtwaɪn,-,-,-,-
equine,aɪn,ˈiː,kwaɪn,-,-,-,-
feline,aɪn,ˈfiː,laɪn,-,-,-,-
incline,aɪn,ɪn,ˈklaɪn,-,-,-,-
leonine,aɪn,ˈliː,ə,naɪn,-,-,-
lupine,aɪn,ˈluː,paɪn,-,-,-,-
anodyne,aɪn,ˈæ,nə,daɪn,-,-,-
borderline,aɪn,ˈbɔːr,dər,laɪn,-,-,-
byzantine,aɪn,ˈbɪz,ən,taɪn,-,-,-
centerline,aɪn,ˈsɛn,tər,laɪn,-,-,-
crystalline,aɪn,ˈkrɪs,tə,laɪn,-,-,-
eglantine,aɪn,ˈɛg,lən,taɪn,-,-,-
interline,aɪn,ˌɪn,tər,ˈlaɪn,-,-,-
intertwine,aɪn,ˌɪn,tər,ˈtwaɪn,-,-,-
realign,aɪn,ˌri,ə,ˈlaɪn,-,-,-
reassign,aɪn,ˌri,ə,ˈsaɪn,-,-,-
recombine,aɪn,ˌri,kəm,ˈbaɪn,-,-,-
redefine,aɪn,ˌri,dɪ,ˈfaɪn,-,-,-
saturnine,aɪn,ˈsæ,tər,naɪn,-,-,-
serpentine,aɪn,ˈsɜːr,pən,taɪn,-,-,-
undermine,aɪn,ˌən,dər,ˈmaɪn,-,-,-
underline,aɪn,ˌʌn,dər,ˈlaɪn,-,-,-
