word,inv(word)
time,emit
live,evil
rats,star
saw,was
raw,war
dog,god
pool,loop
regal,lager
draw,ward
dray,yard
now,won
bad,dab
on,no
devil,lived
revel,lever
pets,step
laid,dial
leper,repel
not,ton
redraw,warder
reflog,golfer
repaid,diaper
stab,bats
parts,strap
tab,bat
desserts,stressed
deifier,reified
deliver,reviled
dessert,tressed
gateman,nametag
leveler,releveler
reknits,stinker
animal,lamina
darter,retrad
animes,semina
denies,seined
elides,sedile
eviler,relive
looter,retool
pupils,slipup
recaps,spacer
reflow,wolfer
reknit,tinker
remeet,teemer
repins,sniper
sleeps,speels
sleets,steels
sloops,spools
snoops,spoons
snips,spins
span,naps
spirits,strips
sports,strops
sprits,stirps
struts,sturts
denim,mined
debut,tubed
knits,stink
fires,serif
depot,toped
deeps,speed
decal,laced
peels,sleep
rebut,tuber
loops,spool
loots,stool
relit,tiler
remit,timer
ports,strop
smart,trams
snaps,spans
snips,spins
spots,stops
sprat,tarps
stows,swots
straw,warts
deep,peed
doom,mood
hoop,pooh
gnat,tang
girt,trig
flow,wolf
lair,rial
keep,peek
gulp,plug
gals,slag
gums,smug
maps,spam
loot,tool
mart,tram
nuts,stun
meet,teem
maws,swam
mils,slim
moor,room
naps,span
nips,spin
pals,slap
pans,snap
part,trap
paws,swap
pees,seep
pins,snip
port,trop
pots,stop
prat,tarp
raps,spar
saps,spas
snit,tins
snot,tons
spat,taps
spay,yaps
spit,tips
spot,tops
stew,wets
swat,taws
sway,yaws
swot,tows
tort,trot
