word,ipa_syl_1,ipa_syl_2,ipa_syl_3,ipa_syl_4,ipa_syl_5,ipa_syl_6
aback,ə,ˈbæk
abad,ə,ˈbɑd
abair,ə,ˈbɛr
abash,ə,ˈbæʃ
abashed,ə,ˈbæʃt
abate,ə,ˈbeɪt
abates,ə,ˈbeɪts
abbas,ə,ˈbɑs
abbe,æ,ˈbeɪ
abbett,ə,ˈbɛt
abboud,ə,ˈbud
abbreviate,əb,ˈri,vi,ˌeɪt
abbreviates,əb,ˈri,vi,ˌeɪts
abduct,æb,ˈdʌkt
abducts,æb,ˈdʌkts
abdul,æb,ˈdul
abdulaziz,æb,ˌdu,lə,ˈziz
abed,ə,ˈbɛd
abee,ə,ˈbi
abele,ə,ˈbil
abeles,ə,ˈbilz
abend,ə,ˈbɛnd
abet,ə,ˈbɛt
abhor,æb,ˈhɔr
abhorred,əb,ˈhɔrd
abhors,əb,ˈhɔrz
abide,ə,ˈbaɪd
abides,ə,ˈbaɪdz
ablaze,əb,ˈleɪz
abloom,əb,ˈlum
aboard,ə,ˈbɔrd
abode,ə,ˈboʊd
abood,ə,ˈbud
abor,ə,ˈbɔr
aborn,ə,ˈbɔrn
abort,ə,ˈbɔrt
aborts,ə,ˈbɔrts
abott,ə,ˈbɑt
abou,ə,ˈbu
aboud,ɑ,ˈbud
abound,ə,ˈbaʊnd
abounds,ə,ˈbaʊndz
about,ə,ˈbaʊt
above,ə,ˈbʌv
abram,əb,ˈræm
abreast,əb,ˈrɛst
abreu,əb,ˈru
abridge,əb,ˈrɪdʒ
abridged,əb,ˈrɪdʒd
abril,əb,ˈrɪl
abroad,əb,ˈrɔd
abrol,əb,ˈroʊl
abron,əb,ˈrɑn
abrupt,əb,ˈrʌpt
abscond,æb,ˈskɑnd
absconds,æb,ˈskɑndz
absolve,əb,ˈzɑlv
absolved,əb,ˈzɑlvd
absolves,əb,ˈzɑlvz
absorb,əb,ˈzɔrb
absorbed,əb,ˈzɔrbd
absorbs,əb,ˈzɔrbz
abstain,əb,ˈsteɪn
abstained,əb,ˈsteɪnd
abstract,æbs,ˈtrækt
abstruse,əbs,ˈtrus
absurd,əb,ˈsɝd
abuse,əb,ˈjus
abused,əb,ˈjuzd
abut,ə,ˈbʌt
abuts,ə,ˈbʌts
abuzz,ə,ˈbʌz
abyss,ə,ˈbɪs
accede,æk,ˈsid
accedes,æk,ˈsidz
accel,ək,ˈsɛl
accelerate,æk,ˈsɛ,lɚ,ˌeɪt
accelerates,æk,ˈsɛ,lɚ,ˌeɪts
accent,ək,ˈsɛnt
accept,æk,ˈsɛpt
accepts,æk,ˈsɛpts
accessorize,æk,ˈsɛ,sɚ,ˌaɪz
accessorized,æk,ˈsɛ,sɚ,ˌaɪzd
acclaim,ək,ˈleɪm
acclaimed,ək,ˈleɪmd
acclaims,ək,ˈleɪmz
accommodate,ə,ˈkɑ,mə,ˌdeɪt
accommodates,ə,ˈkɑ,mə,ˌdeɪts
accord,ə,ˈkɔrd
accords,ə,ˈkɔrdz
accost,ə,ˈkɔst
account,ə,ˈkaʊnt
accounts,ə,ˈkaʊnts
accrue,ək,ˈru
accrued,ək,ˈrud
accrues,ək,ˈruz
accumulate,ək,ˈjum,jə,ˌleɪt
accumulates,ək,ˈjum,jə,ˌleɪts
accuse,ək,ˈjuz
accused,ək,ˈjuzd
acetochlor,ɑ,ˈsɛ,toʊk,ˌlɔr
acetylene,ə,ˈsɛ,tə,ˌlin
achee,ə,ˈtʃi
achieve,ə,ˈtʃiv
achieved,ə,ˈtʃivd
achieves,ə,ˈtʃivz
acidified,ə,ˈsɪ,də,ˌfaɪd
acidifies,ə,ˈsɪ,də,ˌfaɪz
acidify,ə,ˈsɪ,də,ˌfaɪ
acog,ə,ˈkɔɡ
acord,ə,ˈkɔrd
acquaint,ək,ˈweɪnt
acquit,ək,ˈwɪt
acquits,ək,ˈwɪts
acree,ək,ˈri
across,ək,ˈrɔs
acuff,ə,ˈkʌf
acute,ək,ˈjut
acyclovir,ə,ˈsɪk,loʊ,ˌvɪr
adagio,ə,ˈdɑ,ʒi,ˌoʊ
adair,ə,ˈdɛr
adaire,ɑ,ˈdɛr
adak,ə,ˈdæk
adames,ə,ˈdeɪmz
adapt,ə,ˈdæpt
adaptaplex,ə,ˈdæp,təp,ˌlɛks
adapts,ə,ˈdæpts
adar,ə,ˈdɑr
aday,ə,ˈdeɪ
adcock,əd,ˈkɑk
adcox,əd,ˈkɑks
addair,ə,ˈdɛr
addict,ə,ˈdɪkt
