word,ⲣ_1,ⲣ_2,ⲣ_3,ⲣ_4,ⲣ_5,ⲣ_6
checked,ˈtʃɛkt,-,-,-
decked,ˈdɛkt,-,-,-
flecked,ˈflɛkt,-,-,-
sect,ˈsɛkt,-,-,-
specked,ˈspɛkt,-,-,-
trecked,ˈtrɛkt,-,-,-
wrecked,ˈrɛkt,-,-,-
affect,ə,ˈfɛkt,-,-
aspect,ˈæs,pɛkt,-,-
bisect,baɪ,ˈsɛkt,-,-
collect,kə,ˈlɛkt,-,-
connect,kə,ˈnɛkt,-,-
correct,kə,ˈrɛkt,-,-
deflect,dɪ,ˈflɛkt,-,-
detect,dɪ,ˈtɛkt,-,-
direct,dɪ,ˈrɛkt,-,-
effect,ɪ,ˈfɛkt,-,-
eject,i,ˈdʒɛkt,-,-
elect,ɪ,ˈlɛkt,-,-
erect,ɪ,ˈrɛkt,-,-
expect,ɪk,ˈspɛkt,-,-
infect,ɪn,ˈfɛkt,-,-
inject,ɪn,ˈdʒɛkt,-,-
insect,ˈɪn,sɛkt,-,-
inspect,ɪn,ˈspɛkt,-,-
neglect,nɪ,ˈɡlɛkt,-,-
perfect,pər,ˈfɛkt,-,-
protect,prə,ˈtɛkt,-,-
reflect,rɪ,ˈflɛkt,-,-
reject,rɪ,ˈdʒɛkt,-,-
respect,rɪ,ˈspɛkt,-,-
select,sə,ˈlɛkt,-,-
subject,səb,ˈdʒɛkt,-,-
suspect,sə,ˈspɛkt,-,-
unchecked,ʌn,ˈtʃɛkt,-,-
architect,ˈɑrk,ɪ,tɛkt,-
deselect,di,sə,ˈlɛkt,-
disconnect,ˌdɪs,kə,ˈnɛkt,-
disinfect,ˌdɪs,ɪn,ˈfɛkt,-
disrespect,ˌdɪs,rɪ,ˈspɛkt,-
incorrect,ˌɪn,kə,ˈrɛkt,-
indirect,ˌɪn,dɪ,ˈrɛkt,-
intellect,ˈɪn,tə,lɛkt,-
intersect,ˌɪn,tər,ˈsɛkt,-
misdirect,ˌmɪs,dɪ,ˈrɛkt,-
recollect,ˌrɛk,ə,ˈlɛkt,-
redirect,ˌri,də,ˈrɛkt,-
resurrect,ˌrɛz,ə,ˈrɛkt,-
retrospect,ˈrɛ,trə,spɛkt,-
aftereffect,ˈæf,tər,ə,ˌfɛkt
interconnect,ˌɪn,tər,kə,ˈnɛkt
overprotect,ˌoʊ,vər,prə,ˈtɛkt
