Red Wine pH,White Wine pH,,,,,,,
3.51,3,,,,,,,
3.2,3.3,,n,Red,White,,Test Statistic,
3.26,3.26,,99,3.33373737373737,3.20636363636364,,5.95802735130663,
3.16,3.19,,,0.162710371573302,0.137012248413101,,6.38252006801565E-10,
3.51,3.19,,,0.016353007636605,0.013770249080886,,,
3.51,3.26,,,,,,,
3.3,3.18,,,Difference,Red – White,,1.95996398454005,0.169274843748155
3.39,3,,,Mean,0.127373737373738,,-1.95996398454005,0.08547263099932
3.36,3.3,,,St Dev,0.021378508332259,,,
3.35,3.22,,,,,,0.083802212748835,
3.28,2.99,,,Hypothesis,0,,,
3.35,3.14,,,Alpha,0.05,,,
3.58,3.18,,,,,,,
3.26,3.54,,,,,,,
3.16,2.98,,,,,,,
3.17,3.25,,,,,,,
3.3,3.24,,,,,,,
3.11,3.33,,,,,,,
3.38,3.12,,,,,,,
3.04,3.22,,,,,,,
3.39,3.33,,,,,,,
3.52,3.17,,,,,,,
3.17,3.47,,,,,,,
3.17,3.05,,,,,,,
3.43,3.42,,,,,,,
3.34,3.25,,,,,,,
3.28,3.45,,,,,,,
3.17,3.38,,,,,,,
3.47,3.19,,,,,,,
3.38,3.1,,,,,,,
3.35,3.2,,,,,,,
3.46,3.47,,,,,,,
3.17,3.19,,,,,,,
3.45,3.42,,,,,,,
3.38,3.37,,,,,,,
3.4,3.19,,,,,,,
3.42,3.24,,,,,,,
3.23,3.13,,,,,,,
3.5,3.21,,,,,,,
3.33,3.21,,,,,,,
3.33,3.11,,,,,,,
3.26,3.1,,,,,,,
3.21,3.13,,,,,,,
3.3,3.22,,,,,,,
3.48,3.24,,,,,,,
3.9,3.16,,,,,,,
3.25,3.27,,,,,,,
3.25,3.25,,,,,,,
3.34,3.13,,,,,,,
3.32,3.36,,,,,,,
3.15,3.35,,,,,,,
3.4,3.34,,,,,,,
3.39,3.32,,,,,,,
3.2,3.31,,,,,,,
3.17,3.05,,,,,,,
3.34,3.13,,,,,,,
3.04,3.09,,,,,,,
3.26,3.3,,,,,,,
3.43,3.11,,,,,,,
3.41,3.36,,,,,,,
3.44,3.03,,,,,,,
3.21,3.3,,,,,,,
3.38,3.02,,,,,,,
3.39,3.11,,,,,,,
3.41,3.15,,,,,,,
3.41,3.22,,,,,,,
3.42,3.22,,,,,,,
3.44,3.14,,,,,,,
3.28,3.33,,,,,,,
3.34,3.13,,,,,,,
3.32,3.1,,,,,,,
3.32,3.32,,,,,,,
3.31,3.69,,,,,,,
3.31,2.95,,,,,,,
3.28,3.33,,,,,,,
3.54,3.13,,,,,,,
3.54,3.26,,,,,,,
3.52,3.31,,,,,,,
3.38,2.94,,,,,,,
3.16,3.27,,,,,,,
3.41,3.39,,,,,,,
3.13,3.21,,,,,,,
3.36,3.17,,,,,,,
3.16,3.33,,,,,,,
3.44,3.11,,,,,,,
3.41,3.12,,,,,,,
2.93,3.09,,,,,,,
3.39,3.22,,,,,,,
3.14,3.11,,,,,,,
3.48,3.12,,,,,,,
3.23,3.09,,,,,,,
2.93,3.12,,,,,,,
2.93,3.26,,,,,,,
3.39,3.25,,,,,,,
3.75,3.21,,,,,,,
3.85,3.04,,,,,,,
3.45,3.14,,,,,,,
3.25,2.95,,,,,,,
3.39,2.89,,,,,,,
